id,source,link,mydate,category,listname
1,"Esquire","http://www.esquire.com/features/articles/2005/051012_mfe_bnr_1.html","11/05/05 00:00:00","Food","Best New Restaurants"
2,"DJ Magazine","http://www.djmag.com/top100-entry-form.php","11/05/05 00:00:00","Music","Top 100 DJs"
3,"U.S. News","http://www.usnews.com/usnews/news/articles/051031/31intro.htm","11/05/05 00:00:00","Business","America's Best Leaders"
4,"iLounge","http://ilounge.com/index.php/articles/comments/ilounge-announces-best-of-2005-awards-updated/","11/05/05 00:00:00","Gadgets","Best iPod Accessories"
5,"U.S. News","http://www.usnews.com/usnews/health/best-hospitals/tophosp.htm","11/05/05 00:00:00","Health","Best Hospitals"
6,"U.S. News","http://www.usnews.com/usnews/edu/college/rankings/rankindex_brief.php","11/05/05 00:00:00","Education","America's Best Colleges"
7,"National Press Photographers Association","http://www.nppa.org/competitions/best_of_still_photojournalism/2005/","11/05/05 00:00:00","Photos","Best Photojournalism"
8,"GreenerCars.com","http://www.greenercars.com/byclass.html","11/05/05 00:00:00","Automobiles","Best Green Cars"
9,"CNN Money","http://money.cnn.com/news/specials/bestcars/","11/05/05 00:00:00","Automobiles","Best Cars"
10,"Metacritic","http://www.metacritic.com/music/bests/2005.shtml","11/05/05 00:00:00","Music","Best Of 2005"
11,"Metacritic","http://www.metacritic.com/books/bests/2005.shtml","11/05/05 00:00:00","Books","Best Of 2005"
12,"National Book Awards","http://www.nationalbook.org/","11/05/05 00:00:00","Books","Books Of The Year"
13,"Man Booker Prize","http://www.themanbookerprize.com/","11/05/05 00:00:00","Books","Booker Prize"
14,"Metacritic","http://www.metacritic.com/film/awards/","11/05/05 00:00:00","Film","Best Of 2005"
15,"Amazon.com","http://www.amazon.com/exec/obidos/tg/browse/-/15879951/","11/09/05 00:00:00","Music","Best Of 2005 -- Editor's Picks"
16,"Amazon.com","http://www.amazon.com/exec/obidos/tg/browse/-/15879941/","11/09/05 00:00:00","Music","Best Of 2005 -- Customer's Picks"
17,"Amazon.com","http://www.amazon.com/exec/obidos/tg/browse/-/15879961/","11/09/05 00:00:00","Music","Best Of 2005 -- Classical Editor's Picks"
18,"Amazon.com","http://www.amazon.com/exec/obidos/tg/feature/-/593614/","11/09/05 00:00:00","Books","Best Of 2005 -- Customer's Picks"
19,"Amazon.com","http://www.amazon.com/exec/obidos/tg/feature/-/593615/","11/09/05 00:00:00","Books","Best Of 2005 -- Editor's Picks"
20,"Amazon.com","http://www.amazon.com/exec/obidos/tg/browse/-/15762421/","11/09/05 00:00:00","DVD","Best Of 2005 -- Customer's Picks"
21,"Amazon.com","http://www.amazon.com/exec/obidos/tg/browse/-/15762431/","11/09/05 00:00:00","DVD","Best Of 2005 -- Editor's Picks"
22,"Game Critics Awards","http://www.gamecriticsawards.com/win.html","11/09/05 00:00:00","Games","Games Of The Year: Best Of E3"
23,"Out","http://www.out.com/detail.asp?id=14727","11/13/05 00:00:00","People","Out 100"
24,"Time","http://www.time.com/time/business/article/0,8599,1128237,00.html","11/15/05 00:00:00","Science","Best Inventions"
25,"Popular Science","http://www.popsci.com/popsci/bown2005/cars/index.html","11/18/05 00:00:00","Automobiles","Best Of What's New"
26,"Popular Science","http://www.popsci.com/popsci/bown2005/gadgets/index.html","11/18/05 00:00:00","Gadgets","Best Of What's New"
27,"Popular Science","http://www.popsci.com/popsci/bown2005/personalhealth/index.html","11/18/05 00:00:00","Health","Best Of What's New"
28,"Popular Science","http://www.popsci.com/popsci/bown2005/photography/index.html","11/18/05 00:00:00","Photos","Best Of What's New"
29,"LowCulture","http://www.lowculture.com/archives/2005/11/the_low_culture_6.html","11/18/05 00:00:00","Photos","50 Photos Of People Smiling"
30,"National Retail Federation","http://www.nrf.com/content/default.asp?folder=press/release2005&file=toptoys1105.htm&bhcp=1","11/18/05 00:00:00","Toys","Top Toys"
31,"GQ","http://msnbc.msn.com/id/10057268/","11/20/05 00:00:00","People","Man Of The Year"
60,"Crime Writers' Association","http://www.thecwa.co.uk/daggers/2005/index.html","12/02/05 00:00:00","Books","Dagger Awards"
61,"Longitude Books","http://www.longitudebooks.com/find/d/9863/mcms.html","12/02/05 00:00:00","Books","15 Favorite Travel Books"
62,"AllAboutJazz","http://www.allaboutjazz.com/php/article.php?id=19929","12/03/05 00:00:00","Music","New York's Best Jazz"
63,"Global Language Monitor","http://www.languagemonitor.com/wst_page20.html","12/03/05 00:00:00","Words","Top Politically (In)Correct Words"
64,"Christian Science Monitor","http://www.csmonitor.com/2005/1129/p12s01-bogn.html","12/03/05 00:00:00","Books","Best Fiction"
65,"Christian Science Monitor","http://www.csmonitor.com/2005/1129/p12s02-bogn.html","12/03/05 00:00:00","Books","Best Nonfiction"
66,"New York Times Books Review","http://www.nytimes.com/2005/12/01/books/review/04list-sports.html","12/04/05 00:00:00","Sports","Notable Sports Books"
67,"New York Times Books Review","http://www.nytimes.com/2005/12/11/books/review/tenbest.html","12/04/05 00:00:00","Books","10 Best Books"
68,"Filter (Ricky Wilson of Kaiser Chiefs)","http://www.filter-mag.com/news/interior.2793.html","12/04/05 00:00:00","Music","Top 10"
69,"Filter (Jason Lytle of Grandaddy)","http://www.filter-mag.com/news/interior.2789.html","12/04/05 00:00:00","Music","Top 10"
70,"Filter (Shirley Manson of Garbage)","http://www.filter-mag.com/news/interior.2790.html","12/04/05 00:00:00","Music","Top 10"
71,"L.A. Times","http://www.calendarlive.com/books/bookreview/cl-bk-favfiction4dec04,0,2134237.htmlstory","12/04/05 00:00:00","Books","Favorite Fiction"
72,"L.A. Times","http://www.calendarlive.com/books/bookreview/cl-bk-favnonfiction4dec04,0,5135195.story","12/04/05 00:00:00","Books","Favorite Nonfiction"
